product_id,name,price,stock_quantity,offer_percentage
1,Wireless Mouse,24.99,142,15
2,USB-C Hub 7-in-1,39.90,68,10
3,Mechanical Keyboard RGB,89.50,45,20
4,27" 4K Monitor,299.00,18,5
5,Noise Cancelling Headphones,159.00,33,12
6,Portable SSD 1TB,119.99,87,8
7,Smart LED Bulb (4-pack),34.99,124,0
8,Gaming Chair Ergonomic,189.00,22,15
9,4K Webcam,69.90,56,10
10,Bluetooth Speaker Waterproof,49.99,95,20
11,Wireless Charger 15W,29.99,210,5
12,Laptop Stand Aluminum,39.50,78,0
13,USB4 Cable 1m,19.99,145,10
14,Mechanical Keyboard Brown,79.00,41,15
15,External HDD 5TB,109.99,64,8
16,True Wireless Earbuds,89.00,29,25
17,4K Action Camera,249.00,17,12
18,Smart Plug 2-pack,24.99,183,0
19,Ergonomic Mouse Pad,14.99,320,5
20,HDMI 2.1 Cable 2m,18.50,112,10
21,Portable Power Bank 20000mAh,44.99,96,15
22,USB-C Docking Station,179.00,31,10
23,Gaming Mouse 16000 DPI,59.90,67,20
24,27" IPS Monitor 144Hz,219.00,19,8
25,Over-ear Headphones,129.00,48,12
26,NVMe SSD 2TB,169.99,53,5
27,Smart Doorbell Camera,119.90,38,10
28,Office Chair Mesh,149.00,27,15
29,4K Webcam with Microphone,79.90,62,0
30,Bluetooth Speaker Premium,99.00,41,20
31,Wireless Keyboard & Mouse Combo,54.99,88,8
32,Adjustable Laptop Stand,34.99,134,5
33,USB-C to HDMI Adapter,24.99,167,10
34,Mechanical Keyboard White,94.50,36,15
35,External SSD 1TB,94.99,72,12
36,True Wireless Earbuds Pro,129.00,24,25
37,Action Camera 5K,299.00,14,10
38,Smart Bulb Color (2-pack),29.99,198,0
39,Large Gaming Mouse Pad,19.99,245,5
40,HDMI 8K Cable 1.5m,29.90,89,8
41,Power Bank 30000mAh,64.99,71,15
42,Triple Monitor Stand,89.00,43,10
43,RGB Gaming Mouse,49.99,81,20
44,32" Curved Monitor,349.00,11,5
45,Studio Headphones,199.00,29,12
46,M.2 NVMe SSD 4TB,329.99,16,8
47,Video Doorbell 2K,149.99,34,10
48,Executive Office Chair,229.00,19,15
49,Streaming Webcam 1080p,59.99,73,0
50,Portable Bluetooth Speaker XL,79.99,52,18
